#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
479,animal doctor requirements,pk,,,,,,,,10,,,2022-10-21,,,"1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0",1,
480,dog vaccination lahore,pk,,,,,,,,,,,2016-11-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
481,education for veterinary doctor,pk,,,,,,,,10,,,2024-03-01,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
482,veterinary doctor assistant salary,pk,,,,,,,,10,,,2023-02-01,,,"0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
483,fahad pets clinic lahore,pk,,,,,,,,,,,2023-12-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
484,animal doctor nearby,pk,,,,,,,,10,,,2020-03-26,,,"0, 0, 0, 0, 1, 0, 1, 0, 3, 1, 5, 0, 0, 3, 1, 0, 0, 0, 0, 3, 2, 7, 0, 1",4,
485,animal doctor ravenshead,pk,,,,,,,,60,,,2024-04-24,,,"0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
486,veterinary doctor animal clinic,pk,,,,,,,,10,,,2026-04-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0",2,
487,animal support letter from doctor,pk,,,,,,,,30,,,2021-07-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
488,veterinary doctor for goats near me,pk,,,,,,,,,,,2025-06-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 0",2,
489,veterinary doctor job in dubai,pk,,,,,,,,20,,,2023-07-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2",2,
490,what is doctor of veterinary medicine degree,pk,,,,,,,,10,,,2023-11-22,,,"2, 3, 1, 2, 2, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0",1,
491,my aim in life veterinary doctor,pk,,,,,,,,,,,2023-08-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
492,animal doctor game online,pk,,,,,,,,,,,2022-02-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
493,vet in bahria town lahore,pk,,,,,,,,,,,2021-02-07,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
494,veterinary doctor vs mbbs doctor salary,pk,,,,,,,,10,,,2024-03-07,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0",1,
495,animal doctor png,pk,,,,,,,,,,,2020-04-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
496,veterinary doctor name plate,pk,,,,,,,,40,,,2021-03-03,,,"2, 0, 0, 1, 2, 0, 2, 0, 2, 1, 3, 0, 2, 3, 0, 1, 1, 0, 1, 0, 1, 2, 0, 0",2,
497,veterinary doctor veterinarian symbol,pk,,,,,,,,10,,,2020-05-08,,,"2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
498,little fox animal doctor apk,pk,,,,,,,,20,,,2021-04-03,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
499,define veterinary doctor,pk,,,,,,,,,,,2020-07-12,,,"0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
500,online chat with veterinary doctor free,pk,,,,,,,,10,,,2020-04-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
501,animal doctor book,pk,,,,,,,,,,,2022-07-11,,,"2, 1, 0, 1, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
502,doctor phillips animal hospital,pk,,,,,,,,20,,,2022-10-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
503,is veterinary doctor,pk,,,,,,,,,,,2022-10-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
504,veterinary doctor fees,pk,,,,,,,,90,,,2021-05-23,,,"2, 3, 4, 0, 1, 0, 1, 2, 0, 1, 1, 1, 2, 1, 0, 3, 2, 3, 1, 2, 1, 1, 1, 1",2,
505,online chat with veterinary doctor,pk,,,,,,,,,,,2020-02-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
506,animal doctor junction city ks,pk,,,,,,,,150,,,2020-08-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
507,what is an animal doctor called,pk,,,,,,,,200,,,2021-06-24,,,"10, 5, 11, 12, 6, 3, 4, 0, 1, 0, 2, 3, 1, 6, 5, 0, 1, 6, 11, 4, 8, 1, 5, 1",3,
508,best veterinary doctor in bangalore,pk,,,,,,,,40,,,2021-11-25,,,"0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
509,how to become veterinary doctor,pk,,,,,,,,700,,,2016-10-25,,,"15, 2, 2, 4, 2, 6, 1, 9, 6, 5, 4, 2, 2, 3, 1, 3, 1, 0, 3, 5, 1, 0, 0, 0",1,
510,doctor of veterinary medicine usyd,pk,,,,,,,,90,,,2020-09-11,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
511,animal doctor course in punjab,pk,,,,,,,,,,,2019-01-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
512,veterinary doctor salary in philippines,pk,,,,,,,,10,,,2023-07-07,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
513,salary of veterinary doctor in australia,pk,,,,,,,,50,,,2020-04-20,,,"3, 5, 8, 4, 1, 2, 3, 2, 7, 4, 5, 4, 5, 2, 4, 1, 1, 2, 0, 3, 2, 2, 4, 2",4,
514,job for veterinary doctor,pk,,,,,,,,20,,,2020-02-11,,,"3, 1, 3, 1, 0, 3, 1, 0, 0, 0, 3, 1, 4, 4, 1, 0, 10, 0, 1, 0, 0, 2, 2, 0",2,
515,what is animal doctor,pk,,,,,,,,10,,,2020-11-04,,,"1, 0, 2, 0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0",2,
516,what do we call animal doctor,pk,,,,,,,,50,,,2021-09-30,,,"4, 11, 8, 4, 5, 8, 12, 2, 5, 3, 3, 1, 2, 4, 0, 2, 1, 4, 3, 3, 6, 5, 11, 2",7,
517,emotional support animal doctor near me,pk,,,,,,,,,,,2021-09-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
518,veterinary doctor details,pk,,,,,,,,10,,,2021-11-28,,,"0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
519,top rated veterinary doctor near me,pk,,,,,,,,10,,,2024-06-18,,,"0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
520,animal hospital doctor,pk,,,,,,,,500,,,2026-06-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1",4,
521,design veterinary doctor visiting card,pk,,,,,,,,,,,2022-09-09,,,"13, 2, 0, 0, 0, 0, 2, 9, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
522,first care pets clinic | feed.com.pk lahore,pk,,,,,,,,,,,2023-05-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
523,asim pets clinic (kalma chowk) lahore,pk,,,,,,,,,,,2026-07-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7",5,
524,dr priyanka reddy veterinary doctor,pk,,,,,,,,10,,,2021-05-11,,,"0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
525,veterinary doctor short form,pk,,,,,,,,100,,,2022-01-12,,,"6, 12, 3, 2, 4, 2, 1, 1, 3, 3, 1, 5, 4, 2, 5, 0, 1, 3, 3, 4, 1, 1, 3, 1",3,
526,riverbrook animal hospital lahore,pk,,,,,,,,,,,2025-03-10,,,"0, 0, 0, 0, 0, 0, 38, 33, 44, 15, 63, 22, 3, 5, 3, 0, 0, 0, 0, 0, 0, 7, 6, 0",5,
527,animal doctor english,pk,,,,,,,,,,,2024-05-31,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0",1,
528,veterinary doctor in delhi,pk,,,,,,,,30,,,2021-06-21,,,"0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
529,urban pets clinic & store lahore,pk,,,,,,,,,,,2023-07-15,,,"10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
530,near me veterinary doctor,pk,,,,,,,,40,,,2021-12-17,,,"0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2",2,
531,animal doctor ko kya kahate hain in english,pk,,,,,,,,20,,,2023-03-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 4, 6, 6, 4",6,
532,what to do to become a veterinary doctor,pk,,,,,,,,20,,,2016-03-29,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
533,name of doctor of animal,pk,,,,,,,,,,,2024-07-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
534,online doctor of veterinary medicine program,pk,,,,,,,,10,,,2023-06-15,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
535,government veterinary doctor number,pk,,,,,,,,,,,2022-12-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",1,
536,veterinary doctor banne ke liye,pk,,,,,,,,10,,,2021-09-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
537,what is the animal doctor called,pk,,,,,,,,20,,,2021-10-04,,,"3, 4, 1, 1, 1, 0, 3, 0, 1, 2, 2, 2, 0, 2, 1, 0, 0, 3, 1, 1, 2, 2, 0, 0",2,
538,veterinary doctor online free,pk,,,,,,,,20,,,2017-09-02,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0",2,
539,doctor of veterinary medicine course,pk,,,,,,,,70,,,2022-08-07,,,"2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 4",3,
540,free online veterinary doctor pakistan,pk,,,,,,,,,,,2022-09-05,,,"13, 7, 2, 7, 7, 8, 4, 2, 4, 1, 1, 0, 0, 1, 5, 6, 9, 2, 2, 11, 2, 3, 0, 0",2,
541,veterinary doctor prescription pad,pk,,,,,,,,30,,,2021-12-16,,,"4, 0, 3, 1, 8, 5, 7, 3, 6, 0, 4, 5, 9, 2, 4, 2, 0, 4, 1, 3, 4, 4, 1, 2",3,
542,monthly salary of veterinary doctor in india,pk,,,,,,,,,,,2023-09-18,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
543,lahore animal hospital lahore,pk,,,,,,,,,,,2015-10-19,,,"11, 8, 4, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
544,veterinary doctor near,pk,,,,,,,,10,,,2022-03-09,,,"0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 0, 1, 0",2,
545,salary of veterinary doctor in indian army,pk,,,,,,,,,,,2021-08-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
546,what is doctor of animal called,pk,,,,,,,,,,,2024-08-08,,,"0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
547,best veterinary doctor in world,pk,,,,,,,,,,,2019-12-09,,,"0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
548,veterinary doctor salary government,pk,,,,,,,,60,,,2023-04-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
549,how many years for veterinary doctor,pk,,,,,,,,50,,,2023-12-22,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
550,what is doctor of veterinary medicine,pk,,,,,,,,30,,,2020-07-09,,,"3, 0, 0, 4, 0, 0, 5, 0, 2, 0, 2, 3, 0, 1, 1, 0, 4, 3, 3, 2, 5, 6, 4, 0",4,
551,salary of veterinary doctor per month,pk,,,,,,,,,,,2021-05-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
552,doctor of veterinary medicine melbourne,pk,,,,,,,,10,,,2016-02-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
553,veterinary doctor process,pk,,,,,,,,10,,,2022-09-30,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
554,veterinary doctor consultation online,pk,,,,,,,,30,,,2021-09-08,,,"1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",1,
555,veterinary doctor vacancy 2021,pk,,,,,,,,,,,2021-04-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
556,how to apply for veterinary doctor after 12th,pk,,,,,,,,20,,,2022-02-23,,,"4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
557,veterinary doctor on call,pk,,,,,,,,,,,2016-12-17,,,"0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0",2,
558,animal doctor is called in english,pk,,,,,,,,20,,,2025-01-31,,,"0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 7, 4, 1, 4, 3, 0, 0, 0, 1, 3, 1, 2, 0, 1",2,
559,animal hospital bahria town lahore,pk,,,,,,,,,,,2019-07-13,,,"0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 2, 0, 0, 0, 6, 0",3,
560,animal doctor meaning,pk,,,,,,,,20,,,2016-08-06,,,"1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 3, 2",4,
561,spelling of veterinary doctor,pk,,,,,,,,10,,,2022-08-05,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0",1,
562,veterinary doctor admission 2022,pk,,,,,,,,,,,2022-07-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
563,veterinary doctor is a good career,pk,,,,,,,,,,,2023-05-14,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
564,veterinary doctor home visit,pk,,,,,,,,30,,,2020-08-06,,,"2, 2, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0",1,
565,how to become animal doctor,pk,,,,,,,,100,,,2020-08-05,,,"12, 0, 3, 0, 0, 0, 6, 3, 0, 4, 7, 8, 1, 1, 0, 0, 2, 2, 3, 2, 3, 1, 2, 1",2,
566,veterinary doctor brooklyn ny,pk,,,,,,,,,,,2020-02-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
567,veterinary doctor online consultation,pk,,,,,,,,100,,,2020-08-30,,,"0, 0, 1, 0, 0, 1, 0, 3, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 7, 0, 0, 0",1,
568,animal cat doctor near me,pk,,,,,,,,,,,2021-03-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
569,veterinary doctor salary in qatar,pk,,,,,,,,10,,,2021-05-15,,,"2, 2, 3, 5, 3, 5, 2, 2, 8, 2, 1, 7, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2",2,
570,animal doctor is called what,pk,,,,,,,,20,,,2020-09-23,,,"1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
571,veterinary doctor in gujarat,pk,,,,,,,,,,,2016-07-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
572,animal doctor qualification,pk,,,,,,,,30,,,2020-10-20,,,"0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 3, 5, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0",1,
573,jobs for veterinary doctor in dubai,pk,,,,,,,,,,,2016-05-07,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
574,animal doctor photo,pk,,,,,,,,,,,2022-02-12,,,"1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
575,salary of veterinary doctor in canada,pk,,,,,,,,30,,,2020-07-04,,,"3, 2, 2, 1, 3, 0, 1, 0, 5, 3, 2, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2,
576,veterinary doctor png,pk,,,,,,,,10,,,2020-01-21,,,"3, 0, 1, 3, 2, 2, 2, 2, 4, 0, 3, 7, 2, 2, 0, 2, 3, 2, 0, 0, 0, 0, 0, 0",1,
577,animal doctor porn,pk,,,,,,,,,,,2021-02-16,,,"0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
578,birthday wishes for veterinary doctor,pk,,,,,,,,20,,,2018-06-01,,,"2, 3, 0, 2, 0, 2, 3, 4, 2, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0",2,
579,doctor stuffed animal,pk,,,,,,,,90,,,2021-07-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
580,veterinary doctor business card,pk,,,,,,,,10,,,2021-09-08,,,"4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 2, 3, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0",1,
581,veterinary doctor treating cow clinic,pk,,,,,,,,,,,2026-04-17,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0",1,
582,how to become veterinary doctor in australia,pk,,,,,,,,,,,2023-07-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
583,is mbbs required for veterinary doctor,pk,,,,,,,,,,,2025-04-21,,,"0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
584,veterinary doctor name,pk,,,,,,,,30,,,2021-01-15,,,"6, 0, 0, 2, 2, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0",2,
585,veterinary doctor exam,pk,,,,,,,,100,,,2024-05-28,,,"0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
586,animal doctor near my location,pk,,,,,,,,,,,2020-01-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
587,animal doctor jobs,pk,,,,,,,,10,,,2021-10-17,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
588,apron for veterinary doctor,pk,,,,,,,,,,,2025-10-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0",1,
589,how to apply for veterinary doctor,pk,,,,,,,,20,,,2020-06-05,,,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
590,animal doctor contact number near me,pk,,,,,,,,,,,2025-03-16,,,"0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0",1,
591,animal doctor fees,pk,,,,,,,,,,,2022-06-25,,,"0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0",1,
592,veterinary doctor checking cow,pk,,,,,,,,,,,2026-03-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0",1,
593,bag for veterinary doctor,pk,,,,,,,,,,,2025-09-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0",1,
594,how to become a doctor of veterinary medicine,pk,,,,,,,,,,,2022-11-15,,,"0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
595,veterinary doctor title,pk,,,,,,,,10,,,2020-08-02,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
596,what is the doctor of animal called,pk,,,,,,,,10,,,2021-09-22,,,"0, 0, 0, 4, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0",1,
597,veterinary doctor dp,pk,,,,,,,,,,,2019-12-18,,,"1, 1, 3, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 3, 8, 1, 0, 1",2,
598,mbbs veterinary doctor,pk,,,,,,,,30,,,2020-01-19,,,"0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
599,what is a veterinary doctor?,pk,,,,,,,,,,,2024-08-29,,,"2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
600,happy birthday wishes to veterinary doctor,pk,,,,,,,,,,,2021-03-01,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
601,how to become veterinary doctor in canada,pk,,,,,,,,10,,,2023-02-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
602,animal doctor near me within 1.6 km,pk,,,,,,,,10,,,2024-10-20,,,"0, 1, 0, 0, 1, 1, 1, 0, 4, 2, 1, 0, 2, 0, 2, 2, 0, 0, 0, 0, 3, 2, 0, 0",2,
